"Мощность на валу Time";"Мощность на валу ValueY";"Частота Time";"Частота ValueY";"Температура радиатора Time";"Температура радиатора ValueY";"Напряжение Time";"Напряжение ValueY";"Ток Time";"Ток ValueY"
25.05.2020 0:00:55;2,9799995422363;25.05.2020 0:00:55;44,4000015258789;25.05.2020 0:00:55;54;25.05.2020 0:00:55;527;25.05.2020 0:00:55;82,2799987792969
25.05.2020 0:01:55;3,1800003051758;25.05.2020 0:01:55;44,4000015258789;25.05.2020 0:01:55;54;25.05.2020 0:01:55;528;25.05.2020 0:01:55;82,879997253418
25.05.2020 0:02:55;3,0499992370605;25.05.2020 0:02:55;44,4000015258789;25.05.2020 0:02:55;54;25.05.2020 0:02:55;529;25.05.2020 0:02:55;82,1399993896484
25.05.2020 0:03:55;42,9899978637695;25.05.2020 0:03:55;44,4000015258789;25.05.2020 0:03:55;54;25.05.2020 0:03:55;528;25.05.2020 0:03:55;82,2799987792969
25.05.2020 0:04:55;43,1599998474121;25.05.2020 0:04:55;44,4000015258789;25.05.2020 0:04:55;54;25.05.2020 0:04:55;528;25.05.2020 0:04:55;82,4199981689453
25.05.2020 0:05:55;43,1800003051758;25.05.2020 0:05:55;44,4000015258789;25.05.2020 0:05:55;54;25.05.2020 0:05:55;528;25.05.2020 0:05:55;82,6999969482422
25.05.2020 0:06:55;43,1399993896484;25.05.2020 0:06:55;44,4000015258789;25.05.2020 0:06:55;54;25.05.2020 0:06:55;530;25.05.2020 0:06:55;82,379997253418
25.05.2020 0:07:55;43,379997253418;25.05.2020 0:07:55;44,4000015258789;25.05.2020 0:07:55;54;25.05.2020 0:07:55;531;25.05.2020 0:07:55;82,8099975585938
25.05.2020 0:08:55;43,2099990844727;25.05.2020 0:08:55;44,4000015258789;25.05.2020 0:08:55;54;25.05.2020 0:08:55;528;25.05.2020 0:08:55;82,4899978637695
25.05.2020 0:09:55;43,3600006103516;25.05.2020 0:09:55;44,4000015258789;25.05.2020 0:09:55;54;25.05.2020 0:09:55;528;25.05.2020 0:09:55;82,9799957275391
25.05.2020 0:10:55;43,2000007629395;25.05.2020 0:10:55;44,4000015258789;25.05.2020 0:10:55;54;25.05.2020 0:10:55;530;25.05.2020 0:10:55;82,4199981689453
25.05.2020 0:11:55;43,0999984741211;25.05.2020 0:11:55;44,4000015258789;25.05.2020 0:11:55;54;25.05.2020 0:11:55;530;25.05.2020 0:11:55;82,0999984741211
25.05.2020 0:12:55;42,8899993896484;25.05.2020 0:12:55;44,4000015258789;25.05.2020 0:12:55;54;25.05.2020 0:12:55;530;25.05.2020 0:12:55;82,629997253418
25.05.2020 0:13:55;43,1399993896484;25.05.2020 0:13:55;44,4000015258789;25.05.2020 0:13:55;54;25.05.2020 0:13:55;531;25.05.2020 0:13:55;82,4899978637695
25.05.2020 0:14:55;42,7799987792969;25.05.2020 0:14:55;44,4000015258789;25.05.2020 0:14:55;54;25.05.2020 0:14:55;532;25.05.2020 0:14:55;82,0299987792969
25.05.2020 0:15:55;43,0599975585938;25.05.2020 0:15:55;44,4000015258789;25.05.2020 0:15:55;54;25.05.2020 0:15:55;533;25.05.2020 0:15:55;82,7699966430664
25.05.2020 0:16:55;42,9500007629395;25.05.2020 0:16:55;44,4000015258789;25.05.2020 0:16:55;54;25.05.2020 0:16:55;533;25.05.2020 0:16:55;82,8399963378906
25.05.2020 0:17:55;43,0799980163574;25.05.2020 0:17:55;44,4000015258789;25.05.2020 0:17:55;54;25.05.2020 0:17:55;532;25.05.2020 0:17:55;82,2399978637695
25.05.2020 0:18:55;42,8899993896484;25.05.2020 0:18:55;44,4000015258789;25.05.2020 0:18:55;54;25.05.2020 0:18:55;532;25.05.2020 0:18:55;82,1399993896484
25.05.2020 0:19:55;43,2000007629395;25.05.2020 0:19:55;44,4000015258789;25.05.2020 0:19:55;54;25.05.2020 0:19:55;534;25.05.2020 0:19:55;82,879997253418
25.05.2020 0:20:55;43,0999984741211;25.05.2020 0:20:55;44,4000015258789;25.05.2020 0:20:55;54;25.05.2020 0:20:55;533;25.05.2020 0:20:55;82,3099975585938
25.05.2020 0:21:55;43,1199989318848;25.05.2020 0:21:55;44,4000015258789;25.05.2020 0:21:55;54;25.05.2020 0:21:55;534;25.05.2020 0:21:55;82,5599975585938
25.05.2020 0:22:55;43,2599983215332;25.05.2020 0:22:55;44,4000015258789;25.05.2020 0:22:55;54;25.05.2020 0:22:55;534;25.05.2020 0:22:55;82,3499984741211
25.05.2020 0:23:55;43,1199989318848;25.05.2020 0:23:55;44,4000015258789;25.05.2020 0:23:55;54;25.05.2020 0:23:55;533;25.05.2020 0:23:55;82,4899978637695
25.05.2020 0:24:55;43,3499984741211;25.05.2020 0:24:55;44,4000015258789;25.05.2020 0:24:55;54;25.05.2020 0:24:55;534;25.05.2020 0:24:55;82,3099975585938
25.05.2020 0:25:55;42,9599990844727;25.05.2020 0:25:55;44,4000015258789;25.05.2020 0:25:55;54;25.05.2020 0:25:55;532;25.05.2020 0:25:55;82,629997253418
25.05.2020 0:26:55;42,9199981689453;25.05.2020 0:26:55;44,4000015258789;25.05.2020 0:26:55;54;25.05.2020 0:26:55;532;25.05.2020 0:26:55;82,379997253418
25.05.2020 0:27:55;42,8999977111816;25.05.2020 0:27:55;44,4000015258789;25.05.2020 0:27:55;54;25.05.2020 0:27:55;532;25.05.2020 0:27:55;82,5599975585938
25.05.2020 0:28:55;43,2399978637695;25.05.2020 0:28:55;44,4000015258789;25.05.2020 0:28:55;54;25.05.2020 0:28:55;532;25.05.2020 0:28:55;82,879997253418
25.05.2020 0:29:55;43,0099983215332;25.05.2020 0:29:55;44,4000015258789;25.05.2020 0:29:55;54;25.05.2020 0:29:55;531;25.05.2020 0:29:55;82,1699981689453
25.05.2020 0:30:55;42,9699974060059;25.05.2020 0:30:55;44,4000015258789;25.05.2020 0:30:55;54;25.05.2020 0:30:55;531;25.05.2020 0:30:55;82,1699981689453
25.05.2020 0:31:55;43,0499992370605;25.05.2020 0:31:55;44,4000015258789;25.05.2020 0:31:55;54;25.05.2020 0:31:55;530;25.05.2020 0:31:55;82,2399978637695
25.05.2020 0:32:55;48,3199996948242;25.05.2020 0:32:55;46,1000022888184;25.05.2020 0:32:55;54;25.05.2020 0:32:55;527;25.05.2020 0:32:55;88,1199951171875
25.05.2020 0:33:55;48,0900001525879;25.05.2020 0:33:55;46,1000022888184;25.05.2020 0:33:55;54;25.05.2020 0:33:55;526;25.05.2020 0:33:55;87,8699951171875
25.05.2020 0:34:55;47,9799995422363;25.05.2020 0:34:55;46,1000022888184;25.05.2020 0:34:55;54;25.05.2020 0:34:55;526;25.05.2020 0:34:55;88,1899948120117
25.05.2020 0:35:55;47,9699974060059;25.05.2020 0:35:55;46,1000022888184;25.05.2020 0:35:55;54;25.05.2020 0:35:55;527;25.05.2020 0:35:55;88,3300018310547
25.05.2020 0:36:55;48,1800003051758;25.05.2020 0:36:55;46,1000022888184;25.05.2020 0:36:55;54;25.05.2020 0:36:55;528;25.05.2020 0:36:55;88,3300018310547
25.05.2020 0:37:55;48,3499984741211;25.05.2020 0:37:55;46,1000022888184;25.05.2020 0:37:55;54;25.05.2020 0:37:55;528;25.05.2020 0:37:55;87,6599960327148
25.05.2020 0:38:55;47,8499984741211;25.05.2020 0:38:55;46,1000022888184;25.05.2020 0:38:55;54;25.05.2020 0:38:55;528;25.05.2020 0:38:55;87,4799957275391
25.05.2020 0:39:55;48,1399993896484;25.05.2020 0:39:55;46,1000022888184;25.05.2020 0:39:55;54;25.05.2020 0:39:55;529;25.05.2020 0:39:55;87,9000015258789
25.05.2020 0:40:55;47,7799987792969;25.05.2020 0:40:55;46,1000022888184;25.05.2020 0:40:55;54;25.05.2020 0:40:55;529;25.05.2020 0:40:55;87,9399948120117
25.05.2020 0:41:55;47,9699974060059;25.05.2020 0:41:55;46,1000022888184;25.05.2020 0:41:55;54;25.05.2020 0:41:55;530;25.05.2020 0:41:55;88,1199951171875
25.05.2020 0:42:55;48,0799980163574;25.05.2020 0:42:55;46,1000022888184;25.05.2020 0:42:55;54;25.05.2020 0:42:55;530;25.05.2020 0:42:55;87,8300018310547
25.05.2020 0:43:55;47,9699974060059;25.05.2020 0:43:55;46,1000022888184;25.05.2020 0:43:55;55;25.05.2020 0:43:55;529;25.05.2020 0:43:55;87,7999954223633
25.05.2020 0:44:55;48,0299987792969;25.05.2020 0:44:55;46,1000022888184;25.05.2020 0:44:55;55;25.05.2020 0:44:55;528;25.05.2020 0:44:55;87,9700012207031
25.05.2020 0:45:55;48,1800003051758;25.05.2020 0:45:55;46,1000022888184;25.05.2020 0:45:55;55;25.05.2020 0:45:55;527;25.05.2020 0:45:55;87,7299957275391
25.05.2020 0:46:55;48,0599975585938;25.05.2020 0:46:55;46,1000022888184;25.05.2020 0:46:55;55;25.05.2020 0:46:55;528;25.05.2020 0:46:55;88,0099945068359
25.05.2020 0:47:55;48,1100006103516;25.05.2020 0:47:55;46,1000022888184;25.05.2020 0:47:55;55;25.05.2020 0:47:55;530;25.05.2020 0:47:55;88,1899948120117
25.05.2020 0:48:55;48;25.05.2020 0:48:55;46,1000022888184;25.05.2020 0:48:55;54;25.05.2020 0:48:55;532;25.05.2020 0:48:55;87,8699951171875
25.05.2020 0:49:55;48,0399971008301;25.05.2020 0:49:55;46,1000022888184;25.05.2020 0:49:55;54;25.05.2020 0:49:55;532;25.05.2020 0:49:55;87,6599960327148
25.05.2020 0:50:55;47,8999977111816;25.05.2020 0:50:55;46,1000022888184;25.05.2020 0:50:55;54;25.05.2020 0:50:55;531;25.05.2020 0:50:55;87,8699951171875
25.05.2020 0:51:55;48,3199996948242;25.05.2020 0:51:55;46,1000022888184;25.05.2020 0:51:55;54;25.05.2020 0:51:55;531;25.05.2020 0:51:55;87,9000015258789
25.05.2020 0:52:55;48,1100006103516;25.05.2020 0:52:55;46,1000022888184;25.05.2020 0:52:55;54;25.05.2020 0:52:55;530;25.05.2020 0:52:55;88,6100006103516
25.05.2020 0:53:55;47,9099998474121;25.05.2020 0:53:55;46,1000022888184;25.05.2020 0:53:55;54;25.05.2020 0:53:55;531;25.05.2020 0:53:55;87,4399948120117
25.05.2020 0:54:55;47,7199974060059;25.05.2020 0:54:55;46,1000022888184;25.05.2020 0:54:55;54;25.05.2020 0:54:55;532;25.05.2020 0:54:55;88,0800018310547
25.05.2020 0:55:55;48,0099983215332;25.05.2020 0:55:55;46,1000022888184;25.05.2020 0:55:55;54;25.05.2020 0:55:55;534;25.05.2020 0:55:55;87,6599960327148
25.05.2020 0:56:55;47,9099998474121;25.05.2020 0:56:55;46,1000022888184;25.05.2020 0:56:55;55;25.05.2020 0:56:55;533;25.05.2020 0:56:55;87,5499954223633
25.05.2020 0:57:55;48,0499992370605;25.05.2020 0:57:55;46,1000022888184;25.05.2020 0:57:55;55;25.05.2020 0:57:55;533;25.05.2020 0:57:55;88,4000015258789
25.05.2020 0:58:55;47,8099975585938;25.05.2020 0:58:55;46,1000022888184;25.05.2020 0:58:55;55;25.05.2020 0:58:55;533;25.05.2020 0:58:55;87,7299957275391
25.05.2020 0:59:55;48,2099990844727;25.05.2020 0:59:55;46,1000022888184;25.05.2020 0:59:55;55;25.05.2020 0:59:55;533;25.05.2020 0:59:55;87,6599960327148
